"Competi","Country","Age","Stage","Composer","Associated Piece"
"Antonio Pompa-Baldi","Italy","26","Semifinal Recital","Rachmaninoff","Sonata No.2 in B-flat Minor, Op.36 (1931)"
"Antonio Pompa-Baldi","Italy","26","Semifinal Recital","Poulenc","Caprice italien from Napoli"
"Antonio Pompa-Baldi","Italy","26","Semifinal Recital","Brahms","Variations on a Theme by Paganini, Op.35, Books I and II"
"Antonio Pompa-Baldi","Italy","26","Chamber Music","Schumann","Piano Quintet in E-flat Major, Op.44"
"Antonio Pompa-Baldi","Italy","26","Final Round","Mozart","Piano Concerto No.23 in A Major, K.488"
"Antonio Pompa-Baldi","Italy","26","Final Round","Prokofiev","Piano Concerto No.3 in C Major, Op.26"
"Maxim Philippov","Russia","29","Preliminary Round","Schumann","Fantasiestücke, Op. 12"
"Maxim Philippov","Russia","29","Preliminary Round","Prokofiev","Sonata No. 6 in A Major, Op. 82"
"Maxim Philippov","Russia","29","Semifinal Recital","Haydn","Sonata in A Major, Hob. XVI:5"
"Maxim Philippov","Russia","29","Semifinal Recital","Ravel","FromMiroirs: ""Oiseaux tristes"" and ""Alborada del gracioso"""
"Maxim Philippov","Russia","29","Semifinal Recital","Lowell Liebermann","Three Impromptus"
"Maxim Philippov","Russia","29","Semifinal Recital","Rachmaninoff","13 Preludes, Op. 32"
"Maxim Philippov","Russia","29","Chamber Music","Brahms","Piano Quintet in F Minor, Op. 34"
"Maxim Philippov","Russia","29","Final Round","Mozart","Piano Concerto No. 21 in C Major, K.467"
"Maxim Philippov","Russia","29","Final Round","Rachmaninoff","Piano Concerto No. 3 in D Minor, Op.30"
"Andrew Russo","United States","25","Preliminary Round","Copland","Piano Variations"
"Andrew Russo","United States","25","Preliminary Round","Crumb","A Little Suite for Christmas, A.D. 1979"
"Andrew Russo","United States","25","Preliminary Round","Schubert","Fantasy in C Major, D.760 (""Wanderer"")"
"Andrew Russo","United States","25","Semifinal Recital","C. Curtis-Smith","Four Etudes"
"Andrew Russo","United States","25","Semifinal Recital","Dutilleux","Sonata (1949)"
"Andrew Russo","United States","25","Semifinal Recital","Ravel","FromMiroirs: ""Une barque sur l’océan,"" ""La vallée des cloches"""
"Andrew Russo","United States","25","Semifinal Recital","Berlioz–Liszt","FromSymphonie fantastique: ""Marche au supplice,"" ""Songe d’une nuit de sabbat"""
"Andrew Russo","United States","25","Chamber Music","Brahms","Piano Quintet in F Minor, Op.34"
"Andrew Russo","United States","25","Final Round","Mozart","Piano Concerto No.25 in C Major, K.503"
"Andrew Russo","United States","25","Final Round","Prokofiev","Piano Concerto No.3 in C Major, Op.26"
"Elizabeth Schumann","United States","19","Preliminary Round","Corigliano","Etude Fantasy"
"Elizabeth Schumann","United States","19","Preliminary Round","Schumann","Kinderszenen, Op. 15"
"Elizabeth Schumann","United States","19","Preliminary Round","Schubert–Liszt","Aufenthalt,Gretchen am Spinnrade,Ständchen von Shakespeare,Auf dem Wasser zu singen"
"Elizabeth Schumann","United States","19","Semifinal Recital","C. Curtis-Smith","Four Etudes"
"Elizabeth Schumann","United States","19","Semifinal Recital","Chopin","Impromptu No. 1 in A-flat Major, Op. 29; Impromptu No. 2 in F-sharp Major, Op. 36; Sonata No. 3 in B Minor, Op. 58"
"Elizabeth Schumann","United States","19","Semifinal Recital","Bach","Excerpts fromLittle Preludes and FuguesandKlavierbüchlein für W. F. Bach"
"Elizabeth Schumann","United States","19","Chamber Music","Dvořák","Piano Quintet in A Major, Op. 31"
"Elizabeth Schumann","United States","19","Final Round","Mozart","Piano Concerto No. 25 in C Major, K.503"
"Elizabeth Schumann","United States","19","Final Round","Chopin","Piano Concerto No. 1 in E Minor, Op.11"
"Edna Stern","Belgium","24","Preliminary Round","Schoenberg","Three Piano Pieces, Op. 11"
"Edna Stern","Belgium","24","Preliminary Round","Bach–Rudy Lutz","Chaconne in D Minor"
"Edna Stern","Belgium","24","Preliminary Round","Liszt","Après une lecture de Dante"
"Edna Stern","Belgium","24","Semifinal Recital","Scriabin","Étude in B-flat Minor, Op. 8, No. 11; Étude in F-sharp Minor, Op. 8, No. 2"
"Edna Stern","Belgium","24","Semifinal Recital","Judith Lang Zaimont","Impronta Digitale"
